Category: News

Day,Coronavirus: (Australia)
2019-12-01,0
2019-12-02,0
2019-12-03,0
2019-12-04,0
2019-12-05,0
2019-12-06,0
2019-12-07,0
2019-12-08,0
2019-12-09,0
2019-12-10,0
2019-12-11,0
2019-12-12,0
2019-12-13,0
2019-12-14,0
2019-12-15,0
2019-12-16,0
2019-12-17,0
2019-12-18,0
2019-12-19,0
2019-12-20,0
2019-12-21,0
2019-12-22,0
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,0
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,2
2020-01-16,2
2020-01-17,0
2020-01-18,0
2020-01-19,2
2020-01-20,2
2020-01-21,12
2020-01-22,5
2020-01-23,8
2020-01-24,17
2020-01-25,45
2020-01-26,67
2020-01-27,63
2020-01-28,91
2020-01-29,80
2020-01-30,80
2020-01-31,84
2020-02-01,73
2020-02-02,62
2020-02-03,77
2020-02-04,69
2020-02-05,73
2020-02-06,74
2020-02-07,84
2020-02-08,77
2020-02-09,70
2020-02-10,65
2020-02-11,57
2020-02-12,64
2020-02-13,58
2020-02-14,62
2020-02-15,51
2020-02-16,38
2020-02-17,31
2020-02-18,37
2020-02-19,46
2020-02-20,45
2020-02-21,34
2020-02-22,36
2020-02-23,50
2020-02-24,89
2020-02-25,100
2020-02-26,95
2020-02-27,96
